_id,Category,Location,Vendor,index
68875d6248995f198686da68,SCOPE,Haifa,Thermotron,44b0b8e3-38dd-4bbd-abda-cf7a9f6008e2
68875d6248995f198686da6a,FUNCTION/SIGNAL,bench 7,KITHLEY,d11165ff-afad-4a3d-ad85-32bb893c606e
68875d6348995f198686da6c,DMM,Scondery Lab,synthesis reaserch,88cf7a1b-a47f-48a7-8a49-2bc5851e9b0f
68875d6348995f198686da6d,Board,bench 23,FLUKE,ba3c36a7-fcc1-4dc3-98cd-d31e39f95798
68875d6348995f198686da6f,THERMAL TOOL,bench 11,EXTREM NETWORKS,784e1eb5-0cb3-4183-86e8-67e050a8b51f
68875d6448995f198686da71,Other,Storeroom,TTI,bc805752-067a-4664-bc91-d95da46f4e4e
68875d6448995f198686da73,SOURCE METER,bench 18,ROHDE&SCHWARZ,df405dc6-414b-4e89-bc63-a7de5a6a08f1
68875d6548995f198686da75,Logic Analysis,Lab storage,HP/AGILENT,6fc0496d-2b2a-4297-aaa0-cea22226bfa8
68875d6548995f198686da77,Logic analysis module,Retired,HOLZWORTH,d549566a-96ee-4438-9fc3-b0b91d6ac7f0
68875d6548995f198686da79,ANALYZER,bench 17,OTHER,4cc87cd9-ac5f-4fd7-9e3e-921174f08711
68875d6648995f198686da7b,Cabels,bench 28,Anritsu,25497e2f-6e15-480a-ae21-970f72d4c348
68875d6648995f198686da7d,SOLDER,bench 2,METCAL,a45ef9c9-2dc9-4512-9b1f-47e87617bdff
68875d6748995f198686da7f,Clock Gen,bench 3,NaN,d77015a2-df82-4463-84aa-861ecc5f9120
68875d6748995f198686da81,PROBE,bench 20,WILDER TECHNOLOGIES,d6e34bd5-509d-46e0-aad3-bbf4621d1460
68875d6748995f198686da83,POWER SUPPLY,bench 25,STANFORD RESEARCH SYSTEMS,3e1c565c-3f7a-4582-8622-a9977f29d646
68875d6848995f198686da84,POWER SUPPLY34567,bench 12,KEYSIGHT,4e81d72f-04f0-4c0d-987f-045043aa2e98
68875d6848995f198686da86,NaN,bench 22,Synopsys,ce86eae2-b004-4403-9cd1-781753542890
68875d6948995f198686da88,NaN,bench 1,Intel,5c381526-44c4-4dd4-97f8-1e33013e90a5
68875d6948995f198686da8a,NaN,bench 5,GIGATRONICS,b67c4f0b-5ace-4eb2-942a-2bfba358a760
68875d6948995f198686da8c,NaN,bench 26,WAVECREST,f81495e6-f581-41a4-9d85-d35c453b313f
68875d6a48995f198686da8e,NaN,bench 10,MECHANICAL DEVICES,2d12dca2-a94a-4067-a6f6-7aa9a568888d
68875d6a48995f198686da90,NaN,NaN,HP/AGILENT/KEYSIGHT,885d0203-32f6-4648-99dc-49ffdd8d8f90
68875d6b48995f198686da92,NaN,Lidor,IXIA,f1db7264-70b5-4a56-ae34-e6cf91b9ebeb
68875d6b48995f198686da94,NaN,bench 6,Noisecom,eb9621e4-d5e5-4365-9ff7-a4e8b36b3402
68875d6b48995f198686da96,NaN,Daniel,Agilent,caaf8483-8782-4dd5-9ae5-8cd8f1f1d39e
68875d6c48995f198686da98,NaN,bench 30,ARTEK,8a205330-3479-428e-a8f4-cb0297bd5256
68875d6c48995f198686da9a,NaN,bench 15,TEKTRONIX,88cf2e06-60c0-416a-ace1-d7cc7194d4c1
68875d6c48995f198686da9b,NaN,bench 8,NaN,71a9733c-4b74-4729-8fee-dd77ad24f8ee
68875d6d48995f198686da9d,NaN,bench 14,NaN,1a8f5b98-5603-4979-b7af-a5bac1525347
68875d6d48995f198686da9f,NaN,bench 13,NaN,e8213c0c-d147-44d9-811d-adfe2651b8a4
68875d6e48995f198686daa1,NaN,bench 4,NaN,f01ab40f-1c88-43ea-8a96-aee5a3a26730
68875d6e48995f198686daa3,NaN,in repair,NaN,110ebfaf-5f8b-40b7-8f62-78f137448029
68875d6f48995f198686daa5,NaN,bench 27,NaN,ce846123-7392-47cf-b65d-4bd23ad40b78
68875d6f48995f198686daa7,NaN,bench 29,NaN,8187e69d-ca5c-423c-b318-3b3b9f195f8b
68875d6f48995f198686daa8,NaN,bench 19,NaN,fc3cc4dd-8094-42af-afbc-5609913776d6
